title,url,rating,price,search_url
The Drop Women's Nina Lace-Up Fashion Sneaker,/sspa/click?ie=UTF8&spc=MTo4MzY3Mjg0MDgzMDE1OTc0OjE3MjI2NzQyNjE6c3BfYXRmOjIwMDAxNzQ2Nzk0Nzk4MTo6MDo6&url=%2FDrop-Nina-Lace-up-Fashion-Sneaker%2Fdp%2FB07SXSTH1J%2Fref%3Dsr_1_1_ffob_sspa%3Fdib%3DeyJ2IjoiMSJ9.upnvAfJjF8rAyzZ3rch6Cp2TnyJzRoB1TsScZdfAQ1JFzlybw-O-RxhI91mea45Bn4PUM2XqnYJmEJL2fHY5Jf61qlcStRqUOtR0Z_0BHm1CqoswLlhRsk0JNJsozTpqoL_3x8ygCGRBSQVGLbqKDgQRF3xn6_MSbR4iGwk4h24exZFeMvze0laPlPz9nRdsYNBjyG2iXvryU1XFLN-NBZZkU9T28hD2Kh8o-1VIkBvKGt1EHiXM7IMl07ml4HHc2KDbdeAT04QtjVIPNIDV5JP97sRtykl7vEjLYfMTOoc.XmlXS0NEzYydwr7fqHVpuYqASFes8py_DWRwz3vRRgs%26dib_tag%3Dse%26keywords%3Dsneakers%26qid%3D1722674261%26sr%3D8-1-spons%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9hdGY%26psc%3D1,4.2 out of 5 stars,$32.93,https://www.amazon.com/s?k=sneakers&page=1
Karl Lagerfeld Paris women's Cate Pins Sneaker,/sspa/click?ie=UTF8&spc=MTo4MzY3Mjg0MDgzMDE1OTc0OjE3MjI2NzQyNjE6c3BfYXRmOjMwMDE1NTQ0MTc3ODIwMjo6MDo6&url=%2FKarl-Lagerfeld-Paris-Womens-Sneaker%2Fdp%2FB0BYBF33MF%2Fref%3Dsr_1_2_sspa%3Fdib%3DeyJ2IjoiMSJ9.upnvAfJjF8rAyzZ3rch6Cp2TnyJzRoB1TsScZdfAQ1JFzlybw-O-RxhI91mea45Bn4PUM2XqnYJmEJL2fHY5Jf61qlcStRqUOtR0Z_0BHm1CqoswLlhRsk0JNJsozTpqoL_3x8ygCGRBSQVGLbqKDgQRF3xn6_MSbR4iGwk4h24exZFeMvze0laPlPz9nRdsYNBjyG2iXvryU1XFLN-NBZZkU9T28hD2Kh8o-1VIkBvKGt1EHiXM7IMl07ml4HHc2KDbdeAT04QtjVIPNIDV5JP97sRtykl7vEjLYfMTOoc.XmlXS0NEzYydwr7fqHVpuYqASFes8py_DWRwz3vRRgs%26dib_tag%3Dse%26keywords%3Dsneakers%26qid%3D1722674261%26sr%3D8-2-spons%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9hdGY%26psc%3D1,4.0 out of 5 stars,$99.36,https://www.amazon.com/s?k=sneakers&page=1
Reebok Women's Club C Double Sneaker,/sspa/click?ie=UTF8&spc=MTo4MzY3Mjg0MDgzMDE1OTc0OjE3MjI2NzQyNjE6c3BfYXRmOjMwMDIyNTQxMTY0NjUwMjo6MDo6&url=%2FReebok-Womens-Double-Sneaker-Chalk%2Fdp%2FB08XR1BLMQ%2Fref%3Dsr_1_3_sspa%3Fdib%3DeyJ2IjoiMSJ9.upnvAfJjF8rAyzZ3rch6Cp2TnyJzRoB1TsScZdfAQ1JFzlybw-O-RxhI91mea45Bn4PUM2XqnYJmEJL2fHY5Jf61qlcStRqUOtR0Z_0BHm1CqoswLlhRsk0JNJsozTpqoL_3x8ygCGRBSQVGLbqKDgQRF3xn6_MSbR4iGwk4h24exZFeMvze0laPlPz9nRdsYNBjyG2iXvryU1XFLN-NBZZkU9T28hD2Kh8o-1VIkBvKGt1EHiXM7IMl07ml4HHc2KDbdeAT04QtjVIPNIDV5JP97sRtykl7vEjLYfMTOoc.XmlXS0NEzYydwr7fqHVpuYqASFes8py_DWRwz3vRRgs%26dib_tag%3Dse%26keywords%3Dsneakers%26qid%3D1722674261%26sr%3D8-3-spons%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9hdGY%26psc%3D1,4.6 out of 5 stars,$84.95,https://www.amazon.com/s?k=sneakers&page=1
Karl Lagerfeld Paris women's Cate Shoes – Sneakers Iconic Klp Pins,/sspa/click?ie=UTF8&spc=MTo4MzY3Mjg0MDgzMDE1OTc0OjE3MjI2NzQyNjE6c3BfYXRmOjMwMDI0ODIwNTg4NTgwMjo6MDo6&url=%2FKarl-Lagerfeld-Paris-Womens-Sneaker%2Fdp%2FB091VBFPK4%2Fref%3Dsr_1_4_sspa%3Fdib%3DeyJ2IjoiMSJ9.upnvAfJjF8rAyzZ3rch6Cp2TnyJzRoB1TsScZdfAQ1JFzlybw-O-RxhI91mea45Bn4PUM2XqnYJmEJL2fHY5Jf61qlcStRqUOtR0Z_0BHm1CqoswLlhRsk0JNJsozTpqoL_3x8ygCGRBSQVGLbqKDgQRF3xn6_MSbR4iGwk4h24exZFeMvze0laPlPz9nRdsYNBjyG2iXvryU1XFLN-NBZZkU9T28hD2Kh8o-1VIkBvKGt1EHiXM7IMl07ml4HHc2KDbdeAT04QtjVIPNIDV5JP97sRtykl7vEjLYfMTOoc.XmlXS0NEzYydwr7fqHVpuYqASFes8py_DWRwz3vRRgs%26dib_tag%3Dse%26keywords%3Dsneakers%26qid%3D1722674261%26sr%3D8-4-spons%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9hdGY%26psc%3D1,4.6 out of 5 stars,$139.00,https://www.amazon.com/s?k=sneakers&page=1
Reebok unisex-adult Court Advance Sneaker,/Reebok-Unisex-Advance-Sneaker-Vector/dp/B0BXFRGN13/ref=sr_1_5?dib=eyJ2IjoiMSJ9.upnvAfJjF8rAyzZ3rch6Cp2TnyJzRoB1TsScZdfAQ1JFzlybw-O-RxhI91mea45Bn4PUM2XqnYJmEJL2fHY5Jf61qlcStRqUOtR0Z_0BHm1CqoswLlhRsk0JNJsozTpqoL_3x8ygCGRBSQVGLbqKDgQRF3xn6_MSbR4iGwk4h24exZFeMvze0laPlPz9nRdsYNBjyG2iXvryU1XFLN-NBZZkU9T28hD2Kh8o-1VIkBvKGt1EHiXM7IMl07ml4HHc2KDbdeAT04QtjVIPNIDV5JP97sRtykl7vEjLYfMTOoc.XmlXS0NEzYydwr7fqHVpuYqASFes8py_DWRwz3vRRgs&dib_tag=se&keywords=sneakers&qid=1722674261&sr=8-5,4.5 out of 5 stars,$28.67,https://www.amazon.com/s?k=sneakers&page=1
Madden Girl women's Navida Sneaker,/Madden-Girl-Womens-Navida-Sneaker/dp/B0CCPQKGRT/ref=sr_1_6?dib=eyJ2IjoiMSJ9.upnvAfJjF8rAyzZ3rch6Cp2TnyJzRoB1TsScZdfAQ1JFzlybw-O-RxhI91mea45Bn4PUM2XqnYJmEJL2fHY5Jf61qlcStRqUOtR0Z_0BHm1CqoswLlhRsk0JNJsozTpqoL_3x8ygCGRBSQVGLbqKDgQRF3xn6_MSbR4iGwk4h24exZFeMvze0laPlPz9nRdsYNBjyG2iXvryU1XFLN-NBZZkU9T28hD2Kh8o-1VIkBvKGt1EHiXM7IMl07ml4HHc2KDbdeAT04QtjVIPNIDV5JP97sRtykl7vEjLYfMTOoc.XmlXS0NEzYydwr7fqHVpuYqASFes8py_DWRwz3vRRgs&dib_tag=se&keywords=sneakers&qid=1722674261&sr=8-6,4.2 out of 5 stars,$39.99,https://www.amazon.com/s?k=sneakers&page=1
Skechers Men's Afterburn M. Fit,/Skechers-AFTER-BURN-M-FIT-Lace-Up-Sneaker-Charcoal/dp/B00FZN224Y/ref=sr_1_7?dib=eyJ2IjoiMSJ9.upnvAfJjF8rAyzZ3rch6Cp2TnyJzRoB1TsScZdfAQ1JFzlybw-O-RxhI91mea45Bn4PUM2XqnYJmEJL2fHY5Jf61qlcStRqUOtR0Z_0BHm1CqoswLlhRsk0JNJsozTpqoL_3x8ygCGRBSQVGLbqKDgQRF3xn6_MSbR4iGwk4h24exZFeMvze0laPlPz9nRdsYNBjyG2iXvryU1XFLN-NBZZkU9T28hD2Kh8o-1VIkBvKGt1EHiXM7IMl07ml4HHc2KDbdeAT04QtjVIPNIDV5JP97sRtykl7vEjLYfMTOoc.XmlXS0NEzYydwr7fqHVpuYqASFes8py_DWRwz3vRRgs&dib_tag=se&keywords=sneakers&qid=1722674261&sr=8-7,4.4 out of 5 stars,$56.25,https://www.amazon.com/s?k=sneakers&page=1
Skechers Women's D'Lites Fresh Start Memory Foam Lace-up Sneaker Fashion,/Skechers-Womens-DLites-Lace-up-Sneaker/dp/B014GNJS22/ref=sr_1_8?dib=eyJ2IjoiMSJ9.upnvAfJjF8rAyzZ3rch6Cp2TnyJzRoB1TsScZdfAQ1JFzlybw-O-RxhI91mea45Bn4PUM2XqnYJmEJL2fHY5Jf61qlcStRqUOtR0Z_0BHm1CqoswLlhRsk0JNJsozTpqoL_3x8ygCGRBSQVGLbqKDgQRF3xn6_MSbR4iGwk4h24exZFeMvze0laPlPz9nRdsYNBjyG2iXvryU1XFLN-NBZZkU9T28hD2Kh8o-1VIkBvKGt1EHiXM7IMl07ml4HHc2KDbdeAT04QtjVIPNIDV5JP97sRtykl7vEjLYfMTOoc.XmlXS0NEzYydwr7fqHVpuYqASFes8py_DWRwz3vRRgs&dib_tag=se&keywords=sneakers&qid=1722674261&sr=8-8,4.6 out of 5 stars,$46.97,https://www.amazon.com/s?k=sneakers&page=1
Reebok Unisex-Adult Classic Leather Sneaker,/Reebok-Classic-Leather-Sneaker-Reefresh/dp/B093TSRMG6/ref=sr_1_9?dib=eyJ2IjoiMSJ9.upnvAfJjF8rAyzZ3rch6Cp2TnyJzRoB1TsScZdfAQ1JFzlybw-O-RxhI91mea45Bn4PUM2XqnYJmEJL2fHY5Jf61qlcStRqUOtR0Z_0BHm1CqoswLlhRsk0JNJsozTpqoL_3x8ygCGRBSQVGLbqKDgQRF3xn6_MSbR4iGwk4h24exZFeMvze0laPlPz9nRdsYNBjyG2iXvryU1XFLN-NBZZkU9T28hD2Kh8o-1VIkBvKGt1EHiXM7IMl07ml4HHc2KDbdeAT04QtjVIPNIDV5JP97sRtykl7vEjLYfMTOoc.XmlXS0NEzYydwr7fqHVpuYqASFes8py_DWRwz3vRRgs&dib_tag=se&keywords=sneakers&qid=1722674261&sr=8-9,4.5 out of 5 stars,$79.95,https://www.amazon.com/s?k=sneakers&page=1
Reebok Women's Club C 85 Vintage Shoe,/Reebok-Womens-Sneaker-Chalk-Alabaster/dp/B093WB7PZV/ref=sr_1_10?dib=eyJ2IjoiMSJ9.upnvAfJjF8rAyzZ3rch6Cp2TnyJzRoB1TsScZdfAQ1JFzlybw-O-RxhI91mea45Bn4PUM2XqnYJmEJL2fHY5Jf61qlcStRqUOtR0Z_0BHm1CqoswLlhRsk0JNJsozTpqoL_3x8ygCGRBSQVGLbqKDgQRF3xn6_MSbR4iGwk4h24exZFeMvze0laPlPz9nRdsYNBjyG2iXvryU1XFLN-NBZZkU9T28hD2Kh8o-1VIkBvKGt1EHiXM7IMl07ml4HHc2KDbdeAT04QtjVIPNIDV5JP97sRtykl7vEjLYfMTOoc.XmlXS0NEzYydwr7fqHVpuYqASFes8py_DWRwz3vRRgs&dib_tag=se&keywords=sneakers&qid=1722674261&sr=8-10,4.6 out of 5 stars,$60.00,https://www.amazon.com/s?k=sneakers&page=1
